Parameter Name,Measure Directory,Measure Argument
WWR,SetWindowToWallRatioByFacade,wwr
R-value,IncreaseR-valueOfInsulationForExteriorWallsToASpecificValue,r_value
Infiltration,SetSpaceInfiltrationPerExteriorArea,flow_per_area
PlugLoad,ReduceElectricEquipmentLoadsbyPercentage,elecequip_power_reduction_percent
Lights,ReduceLightingLoadsbyPercentage,lighting_power_reduction_percent
Ventilation_Rate,ReduceVentilationByPercentage,design_spec_outdoor_air_reduction_percent
HeatingSetpoint,AdjustThermostatSetpointsbyDegrees,heating_adjustment
CoolingSetpoint,AdjustThermostatSetpointsbyDegrees,cooling_adjustment
VAV_min_flow,ChangeVAVBoxMinimumAirflowFraction,minimum_airflow_fraction
supply_air_leakage,SupplyAirDuctLeakages,leak_ratio
return_air_leakage,ReturnAirDuctLeakages,leak_ratio
boiler_efficiency,SetBoilerThermalEfficiency,boiler_thermal_efficiency
furnace_efficiency,SetFurnaceEfficiency,burner_efficiency
ACAC_COP,SetAir-CooledAirConditionerCOP,rated_COP
ACHP_HeatingCOP,SetAir-CooledUnitaryHeatPumpCOP,rated_heating_COP
ACHP_CoolingCOP,SetAir-CooledUnitaryHeatPumpCOP,rated_cooling_COP
DX_single_COP,SetCOPforSingleSpeedDXCoolingUnits,Rated COP
DX_two_high_COP,SetCOPforTwoSpeedDXCoolingUnits,Rated High Speed COP
DX_two_low_COP,SetCOPforTwoSpeedDXCoolingUnits,Rated Low Speed COP
